Código do Termo;Termo;Apresentação;Laboratório;Data de início de vigência;Data de fim de vigência;Data de fim de implantação;REGISTRO ANVISA
90051505;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML;ELI LILLY DO BRASIL LTDA;10/10/2012;;31/08/2014;1126000100027
90403525;REOPRO;2 MG/ML SOL INJ CT FA VD INC X 5 ML;JANSSEN-CILAG FARMACÊUTICA LTDA;01/03/2019;;31/05/2019;1123634150015
90398645;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS OPC X 30;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;01/03/2019;;31/05/2019;1514300280014
90398653;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS OPC X 60;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;01/03/2019;;31/05/2019;1514300280022
90398661;ACETATO DE ABIRATERONA;250 MG COM REV CT FR PLAS OPC X 120;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;01/03/2019;;31/05/2019;1514300280030
90398696;BALEFIO;250 MG COM REV CT FR PLAS OPC X 120;DR. REDDYS FARMACÊUTICA DO BRASIL LTDA;01/03/2019;;31/05/2019;1514300340033
90228430;ZYTIGA;250 MG COM CT FR PLAS OPC X 120;JANSSEN-CILAG FARMACÊUTICA LTDA;10/10/2012;;31/08/2014;1123634010019
90120655;ACETATO DE CIPROTERONA;50 MG COM CT BL AL PLAS INC X 20;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;10/10/2012;;31/08/2014;1064601740019
90209559;PROSTMAN;50 MG COM CT BL AL PLAS INC X 20;UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A;01/01/2016;;31/03/2016;1049712010023
90246713;ANDROCUR;50 MG COM CT BL AL PLAS INC X 20;BAYER S.A.;10/10/2012;;31/08/2014;1705600660037
90246721;ANDROCUR;100 MG COM CT BL AL PLAS INC X 20;BAYER S.A.;10/10/2012;;31/08/2014;1705600660061
90203119;COPAXONE;20 MG/ML SOL INJ CT 28 SERINGA PRE-ENCHIDA X 1 ML;TEVA FARMACÊUTICA LTDA.;10/10/2012;;31/08/2014;1557300010010
90414942;COPAXONE;40 MG/ML SOL INJ SC CT 12 SER PREENC VD TRANS X 1 ML;TEVA FARMACÊUTICA LTDA.;01/03/2019;;31/05/2019;1557300010045
90035402;MEGESTAT;160 MG COM CT FR VD AMB X 30;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;01/01/2016;;31/03/2016;1018001420033
90120930;FEMIGESTROL;160 MG COM CT BL AL PLAS INC X 30;LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA;01/01/2016;;31/03/2016;1064601230010
