Código do Termo;Termo;Data de início de vigência;Data de fim de vigência;Data de fim de implantação
10101012;Consulta em consultório (no horário normal ou preestabelecido);13/02/2009;;15/10/2010
10101020;Consulta em domicílio;13/02/2009;;15/10/2010
10101039;Consulta em pronto socorro;13/02/2009;;15/10/2010
10102019;Visita hospitalar (paciente internado);13/02/2009;;15/10/2010
10103015;Atendimento ao recém-nascido em berçário;13/02/2009;;15/10/2010
10103023;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de baixo risco);13/02/2009;;15/10/2010
10103031;Atendimento ao recém-nascido em sala de parto (parto normal ou operatório de alto risco);13/02/2009;;15/10/2010
10104011;Atendimento do intensivista diarista (por dia e por paciente);13/02/2009;;15/10/2010
10104020;Atendimento médico do intensivista em UTI geral ou pediátrica (plantão de 12 horas - por paciente);13/02/2009;;15/10/2010
10105034;Transporte extra-hospitalar terrestre de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico;13/02/2009;;15/10/2010
10105042;Transporte extra-hospitalar terrestre de pacientes graves, por hora adicional - até o retorno do médico à base - acompanhamento médico;13/02/2009;;15/10/2010
10105050;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, 1ª hora - a partir do deslocamento do médico - acompanhamento médico;13/02/2009;;15/10/2010
10105069;Transporte extra-hospitalar aéreo ou aquático de pacientes graves, por hora adicional - acompanhamento médico;13/02/2009;;15/10/2010
10105077;Acompanhamento médico para transporte intra-hospitalar de pacientes graves, com ventilação assistida, da UTI para o centro de diagnósitco;13/02/2009;;15/10/2010
10106014;Aconselhamento genético;13/02/2009;;15/10/2010
10106030;Atendimento ao familiar do adolescente;13/02/2009;;15/10/2010
10106049;Atendimento pediátrico a gestantes (3º trimestre);13/02/2009;;15/10/2010
10106065;Exame de aptidão física e mental, ou em portadores de mobilidade reduzida, para fins de inscrição ou renovação da CNH (Carteira Nacional de Habilitação);13/02/2009;;15/10/2010
10106073;Junta Médica (três ou mais profissionais) - destina-se ao esclarecimento diagnóstico ou decisão de conduta em caso de difícil solução - por profissional;13/02/2009;;15/10/2010
10106090;Junta Médica - pagamento de honorários médicos referente a 3ª opinião, conforme resolução Consu nº 8;13/02/2009;;15/10/2010
10106103;Perícia médica;13/02/2009;;15/10/2010
10106111;Exame de aptidão física e mental para concessão de benefícios fiscais conferidos pelas Secretaria da Receita Federal e da Fazenda Estadual, a quem fazem jus portadores de mobilidade reduzida, com necessidade de adaptação veicular;09/09/2010;;15/10/2010
10106120;Exame de aptidão física e mental para ratificação, quando a condição física e mental assim o requerer, dos exames realizados pelo órgão previdenciário, incluindo restrição ou liberação para a condução de veículo automotor;09/09/2010;;15/10/2010
10106138;Prova de direção veicular em banca especial - Avaliação Clínica durante a prova de direção veicular procedida por dois médicos simultaneamente;09/09/2010;;15/10/2010
10106146;Atendimento ambulatorial em puericultura;09/09/2010;;15/10/2010
20101015;Acompanhamento clínico ambulatorial pós-transplante renal - por avaliação;13/02/2009;;15/10/2010
20101023;Análise da proporcionalidade cineantropométrica;13/02/2009;;15/10/2010
